category,file,png_resolution,webp_resolution
lifestyle,q1_city.webp,1536x864,960x540 animated
lifestyle,q1_trip.webp,1536x864,960x540 animated
lifestyle,q1_mix.webp,1536x864,960x540 animated
lifestyle,q2_duo.webp,1536x864,960x540 animated
lifestyle,q2_family.webp,1536x864,960x540 animated
lifestyle,q2_large.webp,1536x864,960x540 animated
lifestyle,q3_style.webp,1536x864,960x540 animated
lifestyle,q3_space.webp,1536x864,960x540 animated
lifestyle,q3_efficiency.webp,1536x864,960x540 animated
lifestyle,q4_value.webp,1536x864,960x540 animated
lifestyle,q4_balance.webp,1536x864,960x540 animated
lifestyle,q4_premium.webp,1536x864,960x540 animated
persona,persona_balance.webp,1536x864,960x540 animated
persona,persona_life.webp,1536x864,960x540 animated
persona,persona_weekend.webp,1536x864,960x540 animated
persona,persona_smart.webp,1536x864,960x540 animated
persona,persona_premium.webp,1536x864,960x540 animated
motion,motion_analyzing.webp,1536x864,960x540 animated
motion,motion_matching.webp,1536x864,960x540 animated
motion,motion_complete.webp,1536x864,960x540 animated
